name;index;v_kv;degU;countG;Pg;Qg;Pl;Ql
Южноуральская ГРЭС-2 - СШ 500 кВ;10000;506.85;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Кемин - СШ 220 кВ ;2952 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Восход - СШ 220 кВ;1854 ;235.26;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Восход - СШ 500 кВ;1853 ;511.56;-0.01;-0.01;-0.01;-85.04 ;-0.01;-0.01
ПС 500 кВ Витязь - СШ 500 кВ;1852 ;509.16;-0.01;-0.01;-0.01;-0.01;-0.14;-0.02 
ПС 500 кВ Кемин - СШ 500 кВ ;2951 ;504;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Акмолинская ТЭЦ-2 - СШ 220 кВ ;108;236.16;-0.01;-0.01;542.3;92.10;-0.01;-0.01
ПС 500 кВ Датка - СШ 500 кВ ;2950 ;501;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Ерменсай - СШ 220 кВ;942;234.6;-0.01;-0.01;-0.01;-0.01;122.10 ;-0.01
ПС 500 кВ Новокузнецкая - СШ 500 кВ ;1638 ;517.85;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 1150 кВ Итатская - СШ 500 кВ ;1636 ;521.39;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Юрга - СШ 500 кВ;1632 ;515.87;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Барабинская - СШ 220 кВ ;1671 ;233.69;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Ново-Анжерская - СШ 500 кВ;1633 ;512.21;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Беловская ГРЭС - СШ 500 кВ;1637 ;506.77;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Кузбасская - СШ 500 кВ;1652 ;512.86;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ВЭС Экспо - СШ 220 кВ ;188;243.14;-0.01;-0.01;-0.01;-0.01;-13.95 ;-1.17 
СЭС Капчагай - СШ 220 кВ;946;236.13;-0.01;-0.01;-0.01;-0.01;0.11 ;-0.55 
СЭС Байконыр - СШ 220 кВ;872;0 ;-0.01;-0.01;-0.01;-0.01;-1.83;-0.10 
ПС 220 кВ Бадам (т) - СШ 220 кВ ;836;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Бурное-тяга (т) - СШ 220 кВ ;816;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
